Lake,Latitude,Longitude,County,Country,Site,Constituent_Name,Trend_Arrows,Trend_Direction,Trend,Final_Slope,N,Site_ANOVA,Seasonal_ANOVA,POR_Start ,POR_End,%change,POR_Years,Y-intercept,End_Point,units
Ellsworth,34.795461,-98.366422,Comanche,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,28,**,***,8/12/2002,7/9/2019,NS Trend,17,NS Trend,NS Trend,ug/L
Ellsworth,34.795461,-98.366422,Comanche,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.008974,36,**,***,4/15/1998,8/16/2019,19.3%,21,0.8,0.99,mg/L
Ellsworth,34.795461,-98.366422,Comanche,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,21,***,***,11/7/2001,7/9/2019,NS Trend,18,NS Trend,NS Trend,cm
Ellsworth,34.795461,-98.366422,Comanche,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,38,NS,***,8/15/1994,7/9/2019,NS Trend,25,NS Trend,NS Trend,uS/cm
Ellsworth,34.795461,-98.366422,Comanche,US,Whole Lake,Total Phosphorus (mg/L),2,up,↑↑,0.002098,36,***,***,4/15/1998,7/9/2019,49.8%,21,0.045,0.09,mg/L
Ellsworth,34.795461,-98.366422,Comanche,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,27,***,***,11/7/2001,7/9/2019,NS Trend,18,NS Trend,NS Trend,NTU
Elmer Thomas,34.727492,-98.515336,Comanche,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.1053,19,NS,NS,1/29/2003,11/1/2021,62.2%,19,1.2,3.18,ug/L
Elmer Thomas,34.727492,-98.515336,Comanche,US,Whole Lake,Total Nitrogen (mg/L),1,up,↑,0.007483,25,NS,***,10/13/1999,11/7/2021,32.7%,22,0.34,0.51,mg/L
Elmer Thomas,34.727492,-98.515336,Comanche,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,9,NEI,NEI,NEI,NEI,NEI,NEI,NEI,NEI,cm
Elmer Thomas,34.727492,-98.515336,Comanche,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,2.00,21,NS,***,10/12/1999,11/7/2021,37.0%,22,75,119.09,uS/cm
Elmer Thomas,34.727492,-98.515336,Comanche,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,24,NS,NS,10/13/1999,9/28/2021,NS Trend,22,NS Trend,NS Trend,mg/L
Elmer Thomas,34.727492,-98.515336,Comanche,US,Whole Lake,Turbidity (NTU),99,N/A,NEI,N/A,14,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,NTU
EuchaLake,36.373889,-94.933636,Delaware,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.4621,49,***,***,10/17/2002,11/15/2022,62.8%,20,5.5,14.79,ug/L
EuchaLake,36.373889,-94.933636,Delaware,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,32,***,***,10/17/2002,10/10/2022,NS Trend,20,NS Trend,NS Trend,mg/L
EuchaLake,36.373889,-94.933636,Delaware,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,31,*,***,10/17/2002,10/10/2022,NS Trend,20,NS Trend,NS Trend,cm
EuchaLake,36.373889,-94.933636,Delaware,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,26,***,***,10/17/2002,10/10/2022,NS Trend,20,NS Trend,NS Trend,uS/cm
EuchaLake,36.373889,-94.933636,Delaware,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,31,NS,***,10/17/2002,10/10/2022,NS Trend,20,NS Trend,NS Trend,mg/L
EuchaLake,36.373889,-94.933636,Delaware,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,31,*,***,10/17/2002,10/10/2022,NS Trend,20,NS Trend,NS Trend,NTU
Eufaula,35.4615,-95.60973,Haskell,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,38,***,***,12/2/2002,11/16/2022,NS Trend,20,NS Trend,NS Trend,ug/L
Eufaula,35.4615,-95.60973,Haskell,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.007508,46,***,***,11/3/1999,11/16/2022,21.0%,23,0.65,0.82,mg/L
Eufaula,35.4615,-95.60973,Haskell,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,30,***,***,11/15/2004,11/16/2022,NS Trend,18,NS Trend,NS Trend,cm
Eufaula,35.4615,-95.60973,Haskell,US,Whole Lake,Conductivity (uS/cm),-1,down,↓,-2.06,43,***,***,11/3/1999,11/16/2022,-13.1%,23,410,362.42,uS/cm
Eufaula,35.4615,-95.60973,Haskell,US,Whole Lake,Total Phosphorus (mg/L),2,up,↑↑,0.0007388,46,***,***,11/3/1999,12/28/2022,23.7%,23,0.055,0.07,mg/L
Eufaula,35.4615,-95.60973,Haskell,US,Whole Lake,Turbidity (NTU),2,up,↑↑,0.5107,34,***,***,11/15/2004,11/16/2022,29.5%,18,22,31.20,NTU
Fairfax,36.606983,-96.727828,Osage,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.706,23,NS,***,9/29/2003,1/3/2023,81.9%,19,3,16.61,ug/L
Fairfax,36.606983,-96.727828,Osage,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.007855,33,*,***,5/27/1998,1/29/2022,23.7%,24,0.6,0.79,mg/L
Fairfax,36.606983,-96.727828,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,22,*,***,10/28/2001,11/29/2022,NS Trend,21,NS Trend,NS Trend,cm
Fairfax,36.606983,-96.727828,Osage,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,30,NS,***,5/27/1998,11/29/2022,NS Trend,25,NS Trend,NS Trend,uS/cm
Fairfax,36.606983,-96.727828,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,33,NS,*,5/27/1998,11/29/2022,NS Trend,25,NS Trend,NS Trend,mg/L
Fairfax,36.606983,-96.727828,Osage,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,22,NS,***,10/28/2001,11/29/2022,NS Trend,21,NS Trend,NS Trend,NTU
FortCobb,35.162153,-98.456836,Caddo,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,39,*,***,8/13/2002,11/7/2022,NS Trend,20,NS Trend,NS Trend,ug/L
FortCobb,35.162153,-98.456836,Caddo,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01062,48,NS,***,4/21/1998,11/7/2022,19.2%,25,1.1,1.36,mg/L
FortCobb,35.162153,-98.456836,Caddo,US,Whole Lake,Secchi (cm),2,up,↑↑,0.9608,36,***,***,11/13/2001,12/15/2022,26.9%,21,55,75.27,cm
FortCobb,35.162153,-98.456836,Caddo,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,5.76,46,NS,***,4/21/1998,11/7/2022,24.8%,25,430,571.52,uS/cm
FortCobb,35.162153,-98.456836,Caddo,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.001706,48,***,***,4/21/1998,11/7/2022,39.2%,25,0.065,0.11,mg/L
FortCobb,35.162153,-98.456836,Caddo,US,Whole Lake,Turbidity (NTU),-3,down,↓↓↓,-0.2883,38,***,***,11/13/2001,11/7/2022,-67.7%,21,15,8.95,NTU
FortGibson,35.871667,-95.233056,Cherokee,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.4976,22,NS,***,11/19/2003,9/15/2020,33.0%,17,17,25.38,ug/L
FortGibson,35.871667,-95.233056,Cherokee,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,34,NS,***,6/23/1998,9/15/2020,NS Trend,22,NS Trend,NS Trend,mg/L
FortGibson,35.871667,-95.233056,Cherokee,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,27,***,***,10/30/2000,9/15/2020,NS Trend,20,NS Trend,NS Trend,cm
FortGibson,35.871667,-95.233056,Cherokee,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,35,NS,***,6/24/1998,11/7/2023,NS Trend,25,NS Trend,NS Trend,uS/cm
FortGibson,35.871667,-95.233056,Cherokee,US,Whole Lake,Total Phosphorus (mg/L),1,up,↑,0.001118,28,***,***,6/23/1998,9/15/2020,21.7%,22,0.09,0.11,mg/L
FortGibson,35.871667,-95.233056,Cherokee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,28,***,***,10/30/2000,9/15/2020,NS Trend,20,NS Trend,NS Trend,NTU
FortSupply,36.548517,-99.565136,Woodward,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.522,38,NS,***,10/19/1998,10/18/2021,50.0%,23,12,24.01,ug/L
FortSupply,36.548517,-99.565136,Woodward,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.01592,39,NS,***,4/27/1998,9/7/2021,30.5%,23,0.85,1.22,mg/L
FortSupply,36.548517,-99.565136,Woodward,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,36,***,***,10/19/1998,9/7/2021,NS Trend,23,NS Trend,NS Trend,cm
FortSupply,36.548517,-99.565136,Woodward,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,27.89,39,***,NS,4/27/1998,10/19/2021,44.3%,23,825,1480.30,uS/cm
FortSupply,36.548517,-99.565136,Woodward,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,39,*,***,4/27/1998,9/7/2021,NS Trend,23,NS Trend,NS Trend,mg/L
FortSupply,36.548517,-99.565136,Woodward,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.9328,37,***,***,10/19/1998,9/7/2021,-39.8%,23,75,53.64,NTU
Foss,35.539364,-99.189006,Custer,US,Whole Lake,Chlorophyll (ug/L),-3,down,↓↓↓,-0.3258,36,NS,***,4/22/2003,12/12/2022,-178.1%,20,10,3.60,ug/L
Foss,35.539364,-99.189006,Custer,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.004877,47,***,***,10/25/1999,11/7/2022,17.0%,23,0.55,0.66,mg/L
Foss,35.539364,-99.189006,Custer,US,Whole Lake,Secchi (cm),3,up,↑↑↑,4.467,27,***,***,9/13/2004,11/7/2022,57.5%,18,60,141.13,cm
Foss,35.539364,-99.189006,Custer,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,16.14,35,NS,*,10/25/1999,11/7/2022,14.8%,23,2150,2522.06,uS/cm
Foss,35.539364,-99.189006,Custer,US,Whole Lake,Total Phosphorus (mg/L),-3,down,↓↓↓,-0.0004082,47,***,***,10/25/1999,11/7/2022,-60.4%,23,0.025,0.02,mg/L
Foss,35.539364,-99.189006,Custer,US,Whole Lake,Turbidity (NTU),-3,down,↓↓↓,-0.4617,31,***,***,9/13/2004,11/7/2022,-320.7%,18,11,2.61,NTU
Frederick,34.513272,-98.8876,Tillman,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,33,NS,NS,10/28/2002,1/22/2020,NS Trend,17,NS Trend,NS Trend,ug/L
Frederick,34.513272,-98.8876,Tillman,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01377,28,NS,***,10/16/2000,1/22/2020,29.0%,19,0.65,0.92,mg/L
Frederick,34.513272,-98.8876,Tillman,US,Whole Lake,Secchi (cm),1,up,↑,0.8299,22,NS,***,10/16/2000,2/26/2020,70.3%,19,6.8,22.88,cm
Frederick,34.513272,-98.8876,Tillman,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,30,NS,***,10/16/2000,4/1/2020,NS Trend,19,NS Trend,NS Trend,uS/cm
Frederick,34.513272,-98.8876,Tillman,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,35,NS,***,10/16/2000,1/22/2020,NS Trend,19,NS Trend,NS Trend,mg/L
Frederick,34.513272,-98.8876,Tillman,US,Whole Lake,Turbidity (NTU),-2,down,↓↓,-2.403,25,*,*,10/16/2000,2/26/2020,-79.7%,19,105,58.44,NTU
Fuqua,34.600833,-97.671111,Stephens,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.4682,30,**,***,11/20/2002,10/31/2021,68.9%,19,4,12.88,ug/L
Fuqua,34.600833,-97.671111,Stephens,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01369,34,NS,***,11/6/2000,9/27/2021,39.1%,21,0.445,0.73,mg/L
Fuqua,34.600833,-97.671111,Stephens,US,Whole Lake,Secchi (cm),2,up,↑↑,1.116,26,***,***,11/6/2000,9/27/2021,31.8%,21,50,73.33,cm
Fuqua,34.600833,-97.671111,Stephens,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,31,NS,NS,11/6/2000,9/27/2021,NS Trend,21,NS Trend,NS Trend,uS/cm
Fuqua,34.600833,-97.671111,Stephens,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,34,NS,***,11/6/2000,9/27/2021,NS Trend,21,NS Trend,NS Trend,mg/L
Fuqua,34.600833,-97.671111,Stephens,US,Whole Lake,Turbidity (NTU),-2,down,↓↓,-0.4267,31,***,***,11/6/2000,9/27/2021,-98.2%,21,18,9.08,NTU
Grand,36.474722,-95.034722,Mayes,US,Whole Lake,Chlorophyll (ug/L),-1,down,↓,-0.2837,40,,,10/9/2000,10/11/2022,-64.0%,22,16,9.75,ug/L
Grand,36.474722,-95.034722,Mayes,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,49,,,6/22/1998,10/11/2022,NS Trend,24,NS Trend,NS Trend,mg/L
Grand,36.474722,-95.034722,Mayes,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,40,,,10/9/2000,10/11/2022,NS Trend,22,NS Trend,NS Trend,cm
Grand,36.474722,-95.034722,Mayes,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,42,***,***,6/22/1998,10/11/2022,NS Trend,24,NS Trend,NS Trend,uS/cm
Grand,36.474722,-95.034722,Mayes,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,49,,,6/22/1998,10/11/2022,NS Trend,24,NS Trend,NS Trend,mg/L
Grand,36.474722,-95.034722,Mayes,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,40,,,10/9/2000,10/11/2002,NS Trend,2,NS Trend,NS Trend,NTU
GreatSalt,36.743033,-98.156006,Alfalfa,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,19,NS,*,8/19/2002,7/15/2019,NS Trend,17,NS Trend,NS Trend,ug/L
GreatSalt,36.743033,-98.156006,Alfalfa,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.028,26,NS,***,4/27/1998,7/15/2019,29.8%,21,1.4,1.99,mg/L
GreatSalt,36.743033,-98.156006,Alfalfa,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,18,NS,NS,11/27/2001,7/15/2019,NS Trend,18,NS Trend,NS Trend,cm
GreatSalt,36.743033,-98.156006,Alfalfa,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,164.20,33,NS,***,4/27/1998,7/15/2019,63.0%,21,2050,5535.99,uS/cm
GreatSalt,36.743033,-98.156006,Alfalfa,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,26,NS,*,4/27/1998,7/15/2019,NS Trend,21,NS Trend,NS Trend,mg/L
GreatSalt,36.743033,-98.156006,Alfalfa,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,18,NS,NS,11/27/2001,7/15/2019,NS Trend,18,NS Trend,NS Trend,NTU
Greenleaf,35.617192,-95.166389,Muskogee,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,27,NS,*,10/7/2003,11/16/2022,NS Trend,19,NS Trend,NS Trend,ug/L
Greenleaf,35.617192,-95.166389,Muskogee,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,32,NS,*,10/31/2000,11/16/2022,NS Trend,22,NS Trend,NS Trend,mg/L
Greenleaf,35.617192,-95.166389,Muskogee,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,26,*,NS,10/31/2000,11/16/2022,NS Trend,22,NS Trend,NS Trend,cm
Greenleaf,35.617192,-95.166389,Muskogee,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,2.95,32,30,*,10/31/2000,8/1/2022,35.8%,22,115,179.18,uS/cm
Greenleaf,35.617192,-95.166389,Muskogee,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,32,NS,**,10/31/2000,11/16/2022,NS Trend,22,NS Trend,NS Trend,mg/L
Greenleaf,35.617192,-95.166389,Muskogee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,27,NS,*,10/31/2000,11/16/2022,NS Trend,22,NS Trend,NS Trend,NTU
Guthrie,35.818886,-97.43885,Logan,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,1.283,18,NS,***,10/15/2003,9/22/2022,75.2%,19,8,32.31,ug/L
Guthrie,35.818886,-97.43885,Logan,US,Whole Lake,Total Nitrogen (mg/L),1,up,↑,0.0127,25,NS,***,4/14/1998,10/26/2022,24.7%,25,0.95,1.26,mg/L
Guthrie,35.818886,-97.43885,Logan,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,20,NS,***,11/5/2001,9/12/2022,NS Trend,21,NS Trend,NS Trend,cm
Guthrie,35.818886,-97.43885,Logan,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,27,***,***,6/23/1997,9/12/2022,NS Trend,25,NS Trend,NS Trend,uS/cm
Guthrie,35.818886,-97.43885,Logan,US,Whole Lake,Total Phosphorus (mg/L),1,up,↑,0.0004786,25,*,***,4/14/1998,9/12/2022,18.7%,24,0.051,0.06,mg/L
Guthrie,35.818886,-97.43885,Logan,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,21,NS,***,11/5/2001,9/12/2022,NS Trend,21,NS Trend,NS Trend,NTU
Hefner,35.581019,-97.597431,Oklahoma,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,24,NS,**,9/9/2003,9/7/2021,NS Trend,18,NS Trend,NS Trend,ug/L
Hefner,35.581019,-97.597431,Oklahoma,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,35,***,NS,10/9/2001,9/7/2021,NS Trend,20,NS Trend,NS Trend,mg/L
Hefner,35.581019,-97.597431,Oklahoma,US,Whole Lake,Secchi (cm),1,up,↑,1.332,20,NS,***,1/9/2002,9/7/2021,28.7%,20,65,91.21,cm
Hefner,35.581019,-97.597431,Oklahoma,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,8.69,32,NS,NS,2/17/1998,8/22/2018,16.5%,21,900,1078.43,uS/cm
Hefner,35.581019,-97.597431,Oklahoma,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.002997,30,NS,***,10/9/2001,9/7/2021,49.9%,20,0.06,0.12,mg/L
Hefner,35.581019,-97.597431,Oklahoma,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.2221,25,NS,***,10/9/2001,9/7/2021,-96.7%,20,9,4.57,NTU
Henryetta,35.417047,-95.922617,Okmulgee,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,28,***,***,5/14/2003,9/27/2022,NS Trend,19,NS Trend,NS Trend,ug/L
Henryetta,35.417047,-95.922617,Okmulgee,US,Whole Lake,Total Nitrogen (mg/L),1,up,↑,0.006652,35,NS,***,10/7/1999,11/7/2022,14.6%,23,0.9,1.05,mg/L
Henryetta,35.417047,-95.922617,Okmulgee,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,20,NS,NS,10/17/2011,9/27/2022,NS Trend,11,NS Trend,NS Trend,cm
Henryetta,35.417047,-95.922617,Okmulgee,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,1.66,29,NS,NS,1/12/2000,11/7/2022,36.8%,23,65,102.88,uS/cm
Henryetta,35.417047,-95.922617,Okmulgee,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,36,**,NS,10/7/1999,9/27/2022,NS Trend,23,NS Trend,NS Trend,mg/L
Henryetta,35.417047,-95.922617,Okmulgee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,23,NS,NS,11/15/2004,9/27/2022,NS Trend,18,NS Trend,NS Trend,NTU
Heyburn,35.94935,-96.297858,Creek,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.2891,28,NS,***,5/21/2003,10/17/2021,49.2%,18,5.5,10.83,ug/L
Heyburn,35.94935,-96.297858,Creek,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01419,33,NS,***,11/17/1999,9/14/2021,32.3%,22,0.65,0.96,mg/L
Heyburn,35.94935,-96.297858,Creek,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,21,NS,***,12/2/2009,9/14/2021,NS Trend,12,NS Trend,NS Trend,cm
Heyburn,35.94935,-96.297858,Creek,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,3.67,34,NS,**,11/17/1999,9/14/2021,32.1%,22,170,250.22,uS/cm
Heyburn,35.94935,-96.297858,Creek,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,33,NS,***,11/17/1999,9/14/2021,NS Trend,22,NS Trend,NS Trend,mg/L
Heyburn,35.94935,-96.297858,Creek,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,25,NS,***,10/18/2004,9/14/2021,NS Trend,17,NS Trend,NS Trend,NTU
Holdenville,35.028506,-96.368464,Hughes,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.268,25,**,***,10/1/2003,11/30/2022,31.8%,19,11,16.14,ug/L
Holdenville,35.028506,-96.368464,Hughes,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01161,28,NS,NS,10/23/2001,11/30/2022,24.6%,21,0.75,1.00,mg/L
Holdenville,35.028506,-96.368464,Hughes,US,Whole Lake,Secchi (cm),-1,down,↓,-1.557,25,**,***,10/23/2001,11/30/2022,-88.6%,21,70,37.12,cm
Holdenville,35.028506,-96.368464,Hughes,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,3.94,27,NS,NS,10/23/2001,11/4/2022,34.9%,21,155,237.94,uS/cm
Holdenville,35.028506,-96.368464,Hughes,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,22,NS,NS,10/23/2001,11/30/2022,NS Trend,21,NS Trend,NS Trend,mg/L
Holdenville,35.028506,-96.368464,Hughes,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,26,**,***,10/23/2001,11/30/2022,NS Trend,21,NS Trend,NS Trend,NTU
Hominy,36.408811,-96.415092,Osage,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,20,NS,**,9/22/2003,7/31/2018,NS Trend,15,NS Trend,NS Trend,ug/L
Hominy,36.408811,-96.415092,Osage,US,Whole Lake,Total Nitrogen (mg/L),-1,down,↓,-0.009454,22,*,NS,4/28/1998,9/5/2018,-35.2%,20,0.74,0.55,mg/L
Hominy,36.408811,-96.415092,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,17,***,*,10/22/2001,7/31/2018,NS Trend,17,NS Trend,NS Trend,cm
Hominy,36.408811,-96.415092,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,22,*,NS,4/28/1998,7/31/2018,NS Trend,20,NS Trend,NS Trend,mg/L
Hominy,36.408811,-96.415092,Osage,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,19,***,***,10/22/2001,7/31/2018,NS Trend,17,NS Trend,NS Trend,NTU
Hudson Lake,36.806283,-96.034283,Osage,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,17,*,***,9/29/2003,7/17/2017,NS Trend,14,NS Trend,NS Trend,ug/L
Hudson Lake,36.806283,-96.034283,Osage,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,26,NS,NS,10/20/1998,7/17/2017,NS Trend,19,NS Trend,NS Trend,mg/L
Hudson Lake,36.806283,-96.034283,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,18,NS,NS,1/28/2002,7/17/2017,NS Trend,15,NS Trend,NS Trend,cm
Hudson Lake,36.806283,-96.034283,Osage,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,26,***,***,4/28/1998,7/17/2017,NS Trend,19,NS Trend,NS Trend,uS/cm
Hudson Lake,36.806283,-96.034283,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,24,*,*,10/20/1998,7/17/2017,NS Trend,19,NS Trend,NS Trend,mg/L
Hudson Lake,36.806283,-96.034283,Osage,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,18,**,***,1/28/2002,7/17/2017,NS Trend,15,NS Trend,NS Trend,NTU
Hugo,34.012039,-95.383303,Choctaw,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,31,NS,NS,5/5/2003,3/10/2020,NS Trend,17,NS Trend,NS Trend,ug/L
Hugo,34.012039,-95.383303,Choctaw,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.006674,30,NS,NS,11/21/1999,4/16/2020,19.9%,20,0.55,0.69,mg/L
Hugo,34.012039,-95.383303,Choctaw,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,21,*,NS,11/24/2009,3/10/2020,NS Trend,10,NS Trend,NS Trend,cm
Hugo,34.012039,-95.383303,Choctaw,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,1.18,33,NS,***,11/21/1999,3/10/2020,34.7%,20,45,68.93,uS/cm
Hugo,34.012039,-95.383303,Choctaw,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,35,NS,***,11/21/1999,3/10/2020,NS Trend,20,NS Trend,NS Trend,mg/L
Hugo,34.012039,-95.383303,Choctaw,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,25,NS,*,11/8/2004,3/10/2020,NS Trend,15,NS Trend,NS Trend,NTU
Hulah,36.930564,-96.090208,Osage,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,30,NS,***,6/16/2003,8/12/2019,NS Trend,16,NS Trend,NS Trend,ug/L
Hulah,36.930564,-96.090208,Osage,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.009017,30,NS,***,10/17/1999,9/17/2019,21.7%,20,0.65,0.83,mg/L
Hulah,36.930564,-96.090208,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,20,NS,*,11/2/2011,8/12/2029,NS Trend,18,NS Trend,NS Trend,cm
Hulah,36.930564,-96.090208,Osage,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,31,NS,***,10/17/1999,8/12/2019,NS Trend,20,NS Trend,NS Trend,uS/cm
Hulah,36.930564,-96.090208,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,33,***,***,10/17/1999,8/12/2019,NS Trend,20,NS Trend,NS Trend,mg/L
Hulah,36.930564,-96.090208,Osage,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,24,***,***,10/25/2004,8/12/2019,NS Trend,15,NS Trend,NS Trend,NTU
