Lake,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Clear Creek Lake,310810040120-03,Phosphorus,-57.39,-57.82,-56.95
Clear Creek Lake,310810040120-04,Phosphorus,,,
Clear Creek Lake,310810040120-05,Phosphorus,,,
Cleveland City Lake,621200010270-01,Phosphorus,-60.34,-265.13,165.26
Cleveland City Lake,621200010270-02,Phosphorus,-106.65,-345.09,162.27
Cleveland City Lake,621200010270-03,Phosphorus,-42.96,-359.05,328.88
Clinton Lake,310830030280-01,Phosphorus,,,
Clinton Lake,310830030280-02,Phosphorus,,,
Clinton Lake,310830030280-03,Phosphorus,,,
Clinton Lake,310830030280-04,Phosphorus,,,
Clinton Lake,310830030280-05,Phosphorus,,,
Coalgate City Lake,410400060040-01,Phosphorus,1938.68,1846.18,2031.73
Coalgate City Lake,410400060040-02,Phosphorus,1503.49,1432.52,1574.83
Coalgate City Lake,410400060040-03,Phosphorus,2108.02,2006.38,2210.42
Coalgate City Lake,410400060040-04,Phosphorus,,,
Coalgate City Lake,410400060040-05,Phosphorus,,,
Comanche Lake,311100040170-01,Phosphorus,-189.03,-190.18,-187.87
Comanche Lake,311100040170-02,Phosphorus,,,
Comanche Lake,311100040170-03,Phosphorus,,,
Copan Lake,121400050020-01,Phosphorus,,,
Copan Lake,121400050020-02,Phosphorus,,,
Copan Lake,121400050020-03,Phosphorus,,,
Copan Lake,121400050020-04,Phosphorus,,,
Copan Lake,121400050020-05,Phosphorus,3092.32,2030.3,4242.8
Crowder Lake,310830060130-01,Phosphorus,,,
Crowder Lake,310830060130-02,Phosphorus,,,
Crowder Lake,310830060130-03,Phosphorus,,,
Cushing  Municipal Lake,620900020120-01,Phosphorus,-63.73,-65.34,-62.1
Cushing  Municipal Lake,620900020120-02,Phosphorus,-66.89,-68.6,-65.17
Cushing  Municipal Lake,620900020120-03,Phosphorus,-72.81,-74.23,-71.39
Cushing  Municipal Lake,620900020120-04,Phosphorus,,,
Cushing  Municipal Lake,620900020120-05,Phosphorus,,,
Dripping Springs Lake,520700020060-01,Phosphorus,9.47,-1.26,21.18
Dripping Springs Lake,520700020060-02,Phosphorus,4.65,-2.98,12.77
Dripping Springs Lake,520700020060-03,Phosphorus,15.06,7.2,23.42
Dripping Springs Lake,520700020060-04,Phosphorus,16.5,9.51,23.88
Dripping Springs Lake,520700020060-05,Phosphorus,99.39,95.6,103.24
Duncan Lake,310810040080-01,Phosphorus,59.65,58.38,60.92
Duncan Lake,310810040080-02,Phosphorus,12.3,12.27,12.32
Duncan Lake,310810040080-03,Phosphorus,301.18,295.42,307.08
Duncan Lake,310810040080-04,Phosphorus,,,
Duncan Lake,310810040080-05,Phosphorus,,,
Elk City Lake,311500030120-01,Phosphorus,-40.36,-45.43,-35.03
Elk City Lake,311500030120-02,Phosphorus,-45.73,-48.17,-43.23
Elk City Lake,311500030120-03,Phosphorus,-40.78,-45.81,-35.56
Elmer Lake,620910050070-01,Phosphorus,,,
Elmer Lake,620910050070-02,Phosphorus,,,
Elmer Lake,620910050070-03,Phosphorus,,,
Elmer Thomas Lake,311300040050-01,Phosphorus,,,
Elmer Thomas Lake,311300040050-02,Phosphorus,,,
Elmer Thomas Lake,311300040050-03,Phosphorus,-168.66,-169.19,-168.14
Elmer Thomas Lake,311300040050-04,Phosphorus,,,
Elmer Thomas Lake,311300040050-05,Phosphorus,,,
Eucha Lake,121600050070-01,Phosphorus,-36.68,-36.73,-36.62
Eucha Lake,121600050070-02,Phosphorus,-133.96,-134.13,-133.78
Eucha Lake,121600050070-03,Phosphorus,-98.54,-98.67,-98.4
Eucha Lake,121600050070-04,Phosphorus,,,
Eucha Lake,121600050070-05,Phosphorus,,,
Eufaula Lake,220600010020-05,Phosphorus,-118.87,-119.06,-118.68
Eufaula Lake,220600010020-06,Phosphorus,-64.95,-65.06,-64.85
Eufaula Lake,220600010020-07,Phosphorus,-69.15,-69.27,-69.03
Eufaula Lake,220600010050-09,Phosphorus,-11.76,-19.04,-4.43
Eufaula Lake,220600010050-10,Phosphorus,39.77,37.33,42.23
Eufaula Lake,220600010050-11,Phosphorus,37.39,26.07,48.82
Eufaula Lake,220600010060-08,Phosphorus,-52.17,-52.26,-52.08
Eufaula Lake,220600050010-12,Phosphorus,-59.87,-66.27,-53.44
Eufaula Lake,220600050010-13,Phosphorus,-80.63,-81.35,-79.92
Eufaula Lake,220600050010-14,Phosphorus,-41.92,-51.47,-32.29
Eufaula Lake,220600050010-15,Phosphorus,-47.74,-63.19,-32.05
Eufaula Lake,220600050010-16,Phosphorus,-63.32,-64.1,-62.53
Eufaula Lake,220600050010-17,Phosphorus,10.2,4.3,16.12
Eufaula Lake,520500010020-03,Phosphorus,110.57,107.42,113.78
Eufaula Lake,520500010020-04,Phosphorus,-48.11,-48.19,-48.03
Eufaula Lake,520700010020-01,Phosphorus,-422.48,-426.06,-418.89
Eufaula Lake,520700010020-02,Phosphorus,-18.72,-21.36,-16.02
Fairfax Lake,621200040040-01,Phosphorus,23.46,22.99,23.93
Fairfax Lake,621200040040-02,Phosphorus,42.91,42.82,42.99
Fairfax Lake,621200040040-03,Phosphorus,622.32,620.82,623.83
Fort Cobb Reservoir,310830060020-01,Phosphorus,262.17,262.1,262.24
Fort Cobb Reservoir,310830060020-02,Phosphorus,,,
Fort Cobb Reservoir,310830060020-03,Phosphorus,,,
Fort Cobb Reservoir,310830060020-04,Phosphorus,,,
Fort Cobb Reservoir,310830060020-05,Phosphorus,,,
Fort Cobb Reservoir,310830060020-06,Phosphorus,,,
Fort Gibson Lake,121600010050-01,Phosphorus,44.01,-15.74,111.88
Fort Gibson Lake,121600010050-02,Phosphorus,314.43,160.11,536.77
Fort Gibson Lake,121600010050-03,Phosphorus,574.76,323.17,991.54
Fort Gibson Lake,121600010050-04,Phosphorus,120.01,95.49,146.1
Fort Gibson Lake,121600010200-05,Phosphorus,440.6,426.75,454.8
Fort Gibson Lake,121600010200-06,Phosphorus,774.36,753.38,795.86
Fort Gibson Lake,121600010200-07,Phosphorus,326.82,312.36,341.69
Fort Gibson Lake,121600010200-08,Phosphorus,337.37,321.08,354.18
Fort Supply Lake,720500030020-01,Phosphorus,-99.4,-99.85,-98.96
Fort Supply Lake,720500030020-02,Phosphorus,-69.77,-70.09,-69.46
Fort Supply Lake,720500030020-03,Phosphorus,-39.66,-39.84,-39.48
Fort Supply Lake,720500030020-04,Phosphorus,,,
Fort Supply Lake,720500030020-05,Phosphorus,,,
Foss Reservoir,310840010020-01,Phosphorus,,,
Foss Reservoir,310840010020-02,Phosphorus,,,
Foss Reservoir,310840010020-03,Phosphorus,,,
Foss Reservoir,310840010020-04,Phosphorus,,,
Foss Reservoir,310840010020-05,Phosphorus,-1180.76,-1823.7,-462.43
Fuqua Lake,310810040050-01,Phosphorus,30.97,30.38,31.56
Fuqua Lake,310810040050-02,Phosphorus,5.41,5.25,5.57
Fuqua Lake,310810040050-03,Phosphorus,-54.99,-55.24,-54.74
Fuqua Lake,310810040050-04,Phosphorus,-67.44,-67.59,-67.29
Fuqua Lake,310810040050-05,Phosphorus,-2.98,-3.02,-2.93
Grand Lake,121600030020-01,Phosphorus,691.12,684.68,697.63
Grand Lake,121600030020-02,Phosphorus,1231.96,1206.5,1258.32
Grand Lake,121600030020-03,Phosphorus,871.12,855.48,887.2
Grand Lake,121600030030-04,Phosphorus,260.02,253.57,266.64
Grand Lake,121600030030-05,Phosphorus,737.66,734.19,741.15
Grand Lake,121600030030-06,Phosphorus,217.17,213.44,220.95
Grand Lake,121600030030-07,Phosphorus,544.21,541.23,547.2
Grand Lake,121600030030-08,Phosphorus,583.28,579.73,586.86
Grand Lake,121600030030-09,Phosphorus,256.31,255.73,256.88
Grand Lake,121600030040-10,Phosphorus,26.46,22.2,30.85
Grand Lake,121600030040-11,Phosphorus,389.47,389.19,389.74
Grand Lake,121600030040-12,Phosphorus,252.12,251.97,252.28
Grand Lake,121600030040-13,Phosphorus,-459.83,-562.63,-354.29
Great Salt Plains Lake,621010010020-01,Phosphorus,-6818.81,-6525.58,-7198.25
Great Salt Plains Lake,621010010020-02,Phosphorus,-2480.62,-2554.11,-2400.43
Great Salt Plains Lake,621010010020-03,Phosphorus,52.11,39.26,65.07
Great Salt Plains Lake,621010010020-04,Phosphorus,,,
Great Salt Plains Lake,621010010020-05,Phosphorus,,,
Greenleaf Lake,120400010130-01,Phosphorus,-80.79,-81.17,-80.4
Greenleaf Lake,120400010130-02,Phosphorus,-24.54,-24.65,-24.42
Greenleaf Lake,120400010130-03,Phosphorus,-71.15,-71.47,-70.83
Greenleaf Lake,120400010130-04,Phosphorus,561.36,543.26,579.62
Greenleaf Lake,120400010130-05,Phosphorus,669.24,647.09,691.64
Guthrie Lake,620910040060-01,Phosphorus,,,
Guthrie Lake,620910040060-02,Phosphorus,,,
Guthrie Lake,620910040060-03,Phosphorus,,,
Guthrie Lake,620910040060-04,Phosphorus,,,
Guthrie Lake,620910040060-05,Phosphorus,,,
Healdton Lake,311100030130-01,Phosphorus,,,
Healdton Lake,311100030130-02,Phosphorus,,,
Healdton Lake,311100030130-03,Phosphorus,,,
Healdton Lake,311100030130-04,Phosphorus,,,
Healdton Lake,311100030130-05,Phosphorus,,,
Hefner Lake,620910040200-01,Phosphorus,132.06,82.69,186.41
Hefner Lake,620910040200-02,Phosphorus,77.43,43.74,114.22
Hefner Lake,620910040200-03,Phosphorus,95.35,48.61,148.12
Hefner Lake,620910040200-04,Phosphorus,,,
Hefner Lake,620910040200-05,Phosphorus,,,
Heyburn Lake,120420020300-01,Phosphorus,,,
Heyburn Lake,120420020300-02,Phosphorus,,,
Heyburn Lake,120420020300-03,Phosphorus,,,
Heyburn Lake,120420020300-04,Phosphorus,-15.68,-84.1,60.24
Heyburn Lake,120420020300-05,Phosphorus,,,
Holdenville Lake,520800010040-01,Phosphorus,-2011.16,-2303.59,-1713.54
Holdenville Lake,520800010040-02,Phosphorus,-421.66,-451.69,-391.56
Holdenville Lake,520800010040-03,Phosphorus,57.78,-252.19,373.06
Holdenville Lake,520800010040-04,Phosphorus,,,
Holdenville Lake,520800010040-05,Phosphorus,,,
Hominy Lake,121300040330-01,Phosphorus,,,
Hominy Lake,121300040330-02,Phosphorus,,,
Hominy Lake,121300040330-03,Phosphorus,,,
Hudson Lake,121400020090-01,Phosphorus,257.37,255.28,259.46
Hudson Lake,121400020090-02,Phosphorus,25.38,25.19,25.57
Hudson Lake,121400020090-03,Phosphorus,6104.1,5732.48,6489.69
Hugo Lake,410300020020-01,Phosphorus,,,
Hugo Lake,410300020020-02,Phosphorus,,,
Hugo Lake,410300020020-03,Phosphorus,,,
Hugo Lake,410300020020-04,Phosphorus,,,
Hugo Lake,410300020020-05,Phosphorus,,,
Hulah Lake,121400030020-01,Phosphorus,-79.86,-84.97,-74.71
Hulah Lake,121400030020-02,Phosphorus,-86.85,-97.21,-76.27
Hulah Lake,121400030020-03,Phosphorus,14.22,-10.41,40.01
Hulah Lake,121400030020-04,Phosphorus,,,
Hulah Lake,121400030020-05,Phosphorus,,,
Humphreys Lake,310810040150-01,Phosphorus,-207.98,-208.44,-207.53
Humphreys Lake,310810040150-02,Phosphorus,-183.25,-183.6,-182.89
Humphreys Lake,310810040150-03,Phosphorus,-190.78,-191.15,-190.41
Humphreys Lake,310810040150-04,Phosphorus,,,
Humphreys Lake,310810040150-05,Phosphorus,,,
John Wells Lake,220200040030-01,Phosphorus,,,
John Wells Lake,220200040030-02,Phosphorus,,,
John Wells Lake,220200040030-03,Phosphorus,,,
Kaw Lake,621210000020-01,Phosphorus,563.35,527.52,600.16
Kaw Lake,621210000020-02,Phosphorus,373.29,348.96,398.17
Kaw Lake,621210000040-03,Phosphorus,10.42,2.51,18.39
Kaw Lake,621210000040-04,Phosphorus,22.58,17.29,27.89
Kaw Lake,621210000040-05,Phosphorus,-246.91,-266.9,-226.37
Keystone Lake,620900010020-06,Phosphorus,-25.44,-25.46,-25.43
Keystone Lake,620900010020-07,Phosphorus,190.55,190.43,190.67
Keystone Lake,620900010020-08,Phosphorus,238.32,238.13,238.51
Keystone Lake,620900010020-09,Phosphorus,-64,-64.03,-63.97
Keystone Lake,620900010090-10,Phosphorus,-75.21,-75.26,-75.17
Keystone Lake,620900010090-11,Phosphorus,632.06,631.46,632.67
Keystone Lake,620900010090-12,Phosphorus,,,
Keystone Lake,621200010020-01,Phosphorus,-50.46,-50.49,-50.43
Keystone Lake,621200010020-02,Phosphorus,8.27,8.27,8.27
Keystone Lake,621200010050-03,Phosphorus,-35.83,-35.85,-35.8
Keystone Lake,621200010050-04,Phosphorus,-54.18,-54.2,-54.15
Keystone Lake,621200010050-05,Phosphorus,-45.88,-45.91,-45.86
Lake Carl Blackwell,620900040280-01,Phosphorus,2.09,-148.12,187.92
Lake Carl Blackwell,620900040280-02,Phosphorus,2.15,-169.39,223.09
Lake Carl Blackwell,620900040280-03,Phosphorus,62.49,44.28,81.13
Lake Carl Blackwell,620900040280-04,Phosphorus,-57.59,-169.24,73.99
Lake Carl Blackwell,620900040280-05,Phosphorus,-854.35,-1050.88,-650.58
Lake Chickasha,310830040020-01,Phosphorus,,,
Lake Chickasha,310830040020-02,Phosphorus,,,
Lake Chickasha,310830040020-03,Phosphorus,,,
Lake Chickasha,310830040020-04,Phosphorus,,,
Lake Chickasha,310830040020-05,Phosphorus,,,
Lake El Reno,520530000080-01,Phosphorus,148.32,148.25,148.39
Lake El Reno,520530000080-02,Phosphorus,47.77,47.76,47.79
Lake El Reno,520530000080-03,Phosphorus,98.97,98.94,99.01
Lake Ellsworth,311300030020-01,Phosphorus,-56.41,-56.82,-55.99
Lake Ellsworth,311300030020-02,Phosphorus,-180.69,-181.96,-179.41
Lake Ellsworth,311300030020-03,Phosphorus,33.87,33.63,34.12
Lake Ellsworth,311300030020-04,Phosphorus,,,
Lake Ellsworth,311300030020-05,Phosphorus,,,
Lake Etling,720900000240-01,Phosphorus,,,
Lake Etling,720900000240-02,Phosphorus,,,
Lake Etling,720900000240-03,Phosphorus,,,
Lake Frederick,311310030120-01,Phosphorus,-3.52,-3.53,-3.52
Lake Frederick,311310030120-02,Phosphorus,14.17,14.16,14.17
Lake Frederick,311310030120-03,Phosphorus,-54.55,-54.56,-54.54
Lake Frederick,311310030120-04,Phosphorus,,,
Lake Frederick,311310030120-05,Phosphorus,,,
Lake Henryetta,520700010180-01,Phosphorus,,,
Lake Henryetta,520700010180-02,Phosphorus,,,
Lake Henryetta,520700010180-03,Phosphorus,,,
Lake Henryetta,520700010180-04,Phosphorus,,,
Lake Henryetta,520700010180-05,Phosphorus,,,
Lake Hudson,121600020020-01,Phosphorus,,,
Lake Hudson,121600020020-02,Phosphorus,,,
Lake Hudson,121600020020-03,Phosphorus,,,
Lake Hudson,121600020020-04,Phosphorus,,,
Lake Hudson,121600020140-05,Phosphorus,,,
Lake Hudson,121600020140-06,Phosphorus,,,
Lake Hudson,121600020140-07,Phosphorus,,,
Lake Hudson,121600020140-08,Phosphorus,884.7,824.37,946.2
Lake Jean Neustadt,310800030140-01,Phosphorus,,,
Lake Jean Neustadt,310800030140-02,Phosphorus,,,
Lake Jean Neustadt,310800030140-03,Phosphorus,,,
Lake Jean Neustadt,310800030140-04,Phosphorus,,,
Lake Jean Neustadt,310800030140-05,Phosphorus,,,
Lake Konawa,520600010100-01,Phosphorus,,,
Lake Konawa,520600010100-02,Phosphorus,,,
Lake Konawa,520600010100-03,Phosphorus,,,
Lake Konawa,520600010100-04,Phosphorus,,,
Lake Konawa,520600010100-05,Phosphorus,,,
Lake Lawtonka,311300040070-01,Phosphorus,-79.34,-79.56,-79.11
Lake Lawtonka,311300040070-02,Phosphorus,47.95,47.9,47.99
Lake Lawtonka,311300040070-03,Phosphorus,-59.93,-59.99,-59.88
Lake Lawtonka,311300040070-04,Phosphorus,-120.63,-122.87,-118.38
Lake Lawtonka,311300040070-05,Phosphorus,,,
Lake Louis Burtschi,310820020070-01,Phosphorus,-59.73,-79.64,-39.45
Lake Louis Burtschi,310820020070-02,Phosphorus,-49.86,-67.91,-31.53
Lake Louis Burtschi,310820020070-03,Phosphorus,-57.09,-78.39,-35.39
Lake McAlester,220600020030-01,Phosphorus,-62.73,-63.77,-61.67
Lake McAlester,220600020030-02,Phosphorus,-20.11,-22.15,-18.03
Lake McAlester,220600020030-03,Phosphorus,-8.2,-10.73,-5.64
Lake McAlester,220600020030-04,Phosphorus,,,
Lake McAlester,220600020030-05,Phosphorus,,,
Lake McMurtry,620900040240-01,Phosphorus,,,
Lake McMurtry,620900040240-02,Phosphorus,,,
Lake McMurtry,620900040240-03,Phosphorus,,,
Lake McMurtry,620900040240-04,Phosphorus,-207.95,-216.48,-199.41
Lake McMurtry,620900040240-05,Phosphorus,,,
Lake Murray,311100020090-01,Phosphorus,,,
Lake Murray,311100020090-02,Phosphorus,,,
Lake Murray,311100020090-03,Phosphorus,,,
Lake Murray,311100020090-04,Phosphorus,,,
Lake Murray,311100020090-05,Phosphorus,,,
Lake Nanih Waiya,410310010050-01,Phosphorus,533.69,163.64,921.85
Lake Nanih Waiya,410310010050-02,Phosphorus,68.99,36.98,111
Lake Nanih Waiya,410310010050-03,Phosphorus,23.77,-1.63,56.62
Lake Overholser,520520000260-01,Phosphorus,-100.26,-216.74,75.33
Lake Overholser,520520000260-02,Phosphorus,-49.74,-101.36,25.03
Lake Overholser,520520000260-03,Phosphorus,-36.25,-73.61,11.34
Lake Overholser,520520000260-04,Phosphorus,,,
Lake Overholser,520520000260-05,Phosphorus,,,
Lake Ozzie Cobb,410300020220-01,Phosphorus,-25.99,-25.99,-25.98
Lake Ozzie Cobb,410300020220-02,Phosphorus,-23.54,-23.54,-23.53
Lake Ozzie Cobb,410300020220-03,Phosphorus,-21.99,-21.99,-21.98
Lake Pawhuska,121300030230-01,Phosphorus,,,
Lake Pawhuska,121300030230-02,Phosphorus,,,
Lake Pawhuska,121300030230-03,Phosphorus,,,
Lake Ponca,621200020210-01,Phosphorus,-10.52,-11.19,-9.85
Lake Ponca,621200020210-02,Phosphorus,71.3,70.74,71.87
Lake Ponca,621200020210-03,Phosphorus,-39.3,-40.23,-38.35
Lake Ponca,621200020210-04,Phosphorus,,,
Lake Ponca,621200020210-05,Phosphorus,,,
Lake Raymond Gary,410300010040-01,Phosphorus,108,107.98,108.03
Lake Raymond Gary,410300010040-02,Phosphorus,140.75,140.71,140.78
Lake Raymond Gary,410300010040-03,Phosphorus,130.44,130.41,130.47
Lake Raymond Gary,410300010040-04,Phosphorus,24.1,24.06,24.15
Lake Raymond Gary,410300010040-05,Phosphorus,7.52,7.5,7.53
Lake Sahoma,120420020130-01,Phosphorus,-564.86,-1263.43,233.5
Lake Sahoma,120420020130-02,Phosphorus,-826.04,-1433.41,-134.83
Lake Sahoma,120420020130-03,Phosphorus,-1686.8,-2142.92,-1180.19
Lake Sahoma,120420020130-04,Phosphorus,,,
Lake Sahoma,120420020130-05,Phosphorus,,,
Lake Stanley Draper,520810000130-01,Phosphorus,,,
Lake Stanley Draper,520810000130-02,Phosphorus,,,
Lake Stanley Draper,520810000130-03,Phosphorus,,,
Lake Stanley Draper,520810000130-04,Phosphorus,,,
Lake Stanley Draper,520810000130-05,Phosphorus,,,
Lake Texoma,310800010011-03,Phosphorus,-258.94,-324.55,-187.49
Lake Texoma,310800010011-04,Phosphorus,-272.61,-335.65,-202.67
Lake Texoma,311100010020-01,Phosphorus,-184.54,-255.71,-106.77
Lake Texoma,311100010020-02,Phosphorus,-142.7,-208.42,-70.18
Lake Texoma,311100010030-05,Phosphorus,-193.67,-253.88,-128.79
Lake Texoma,311100010030-06,Phosphorus,-149.2,-197.19,-97.67
Lake Texoma,311100010030-07,Phosphorus,-177.09,-223.33,-127.5
Lake Texoma,311100010030-08,Phosphorus,-170.78,-232.36,-103.13
Lake Texoma,311100010030-09,Phosphorus,-139.75,-186.07,-90.81
Lake Texoma,311100010030-10,Phosphorus,8.35,-0.3,17.09
Lake Texoma,311100010030-11,Phosphorus,-144.07,-185.09,-100.5
Lake Texoma,311100010080-12,Phosphorus,-62.98,-119.2,-3
Lake Texoma,311100010080-13,Phosphorus,-67.18,-104.49,-27.59
Lake Thunderbird,520810000020-01,Phosphorus,-20.02,-24.33,-15.49
Lake Thunderbird,520810000020-02,Phosphorus,106.28,86.59,128.76
Lake Thunderbird,520810000020-03,Phosphorus,123.93,123.56,124.29
Lake Thunderbird,520810000020-04,Phosphorus,97.71,76.09,122.86
Lake Thunderbird,520810000020-05,Phosphorus,61.93,60.6,63.27
Lake Thunderbird,520810000020-06,Phosphorus,21.3,12.12,31.28
Lake Thunderbird,520810000020-07,Phosphorus,,,
Lake Thunderbird,520810000020-08,Phosphorus,239.01,221.17,257.56
Lake Thunderbird,520810000020-11,Phosphorus,-1537.86,-1375.77,-1798.17
Lake Thunderbird,520810000020-12,Phosphorus,,,
Lake Vanderwork,310830020110-01,Phosphorus,-52.35,-91.54,-11.49
Lake Vanderwork,310830020110-02,Phosphorus,-14.88,-41.82,13.11
Lake Vanderwork,310830020110-03,Phosphorus,-37.66,-67.28,-6.72
Lake Vincent,520620050200-01,Phosphorus,-21.37,-21.4,-21.34
Lake Vincent,520620050200-02,Phosphorus,14.42,14.4,14.44
Lake Vincent,520620050200-03,Phosphorus,-36.06,-36.1,-36.01
Lake Wayne Wallace,220100040150-01,Phosphorus,-26.06,-26.48,-25.64
Lake Wayne Wallace,220100040150-02,Phosphorus,-1640.42,-2958.73,-163.53
Lake Wayne Wallace,220100040150-03,Phosphorus,-808.11,-1364.95,-169.47
Langston Lake,620900030180-01,Phosphorus,514.64,226.61,846.25
Langston Lake,620900030180-02,Phosphorus,556.41,314.14,832.43
Langston Lake,620900030180-03,Phosphorus,1620.34,1151.21,2196.49
Langston Lake,620900030180-04,Phosphorus,,,
Langston Lake,620900030180-05,Phosphorus,,,
Liberty Lake,620910040080-01,Phosphorus,,,
Liberty Lake,620910040080-02,Phosphorus,,,
Liberty Lake,620910040080-03,Phosphorus,,,
Lloyd Church,220100040100-01,Phosphorus,,,
Lloyd Church,220100040100-02,Phosphorus,,,
Lloyd Church,220100040100-03,Phosphorus,,,
Lone Chimney Lake,621200030060-01,Phosphorus,-41.18,-68.7,-12.19
Lone Chimney Lake,621200030060-02,Phosphorus,-30,-59.65,1.69
Lone Chimney Lake,621200030060-03,Phosphorus,-9.58,-30.23,12.02
Lone Chimney Lake,621200030060-04,Phosphorus,,,
Lone Chimney Lake,621200030060-05,Phosphorus,,,
McGee Creek Reservoir,410400070020-01,Phosphorus,23.58,-1.37,50.34
McGee Creek Reservoir,410400070020-02,Phosphorus,81.26,65.16,98.59
McGee Creek Reservoir,410400070020-03,Phosphorus,-6.49,-16.09,3.64
McGee Creek Reservoir,410400070020-04,Phosphorus,24.25,13.38,35.74
McGee Creek Reservoir,410400070020-05,Phosphorus,1.46,-12,15.96
Meeker Lake,520700040370-01,Phosphorus,-39.22,-39.22,-39.22
Meeker Lake,520700040370-02,Phosphorus,-8.82,-8.83,-8.82
Meeker Lake,520700040370-03,Phosphorus,-14.71,-14.71,-14.71
Mountain Lake,310800030200-01,Phosphorus,,,
Mountain Lake,310800030200-02,Phosphorus,,,
Mountain Lake,310800030200-03,Phosphorus,,,
New Spiro Lake,220100010050-01,Phosphorus,,,
New Spiro Lake,220100010050-02,Phosphorus,,,
New Spiro Lake,220100010050-03,Phosphorus,,,
Okemah Lake,520700020290-01,Phosphorus,-169.44,-226.87,-110.69
Okemah Lake,520700020290-02,Phosphorus,-126.38,-268.99,26.89
Okemah Lake,520700020290-03,Phosphorus,48.62,-55.49,158.07
Okemah Lake,520700020290-04,Phosphorus,546.77,513.31,580.71
Okemah Lake,520700020290-05,Phosphorus,,,
Okmulgee Lake,520700020040-01,Phosphorus,,,
Okmulgee Lake,520700020040-02,Phosphorus,,,
Okmulgee Lake,520700020040-03,Phosphorus,,,
Okmulgee Lake,520700020040-04,Phosphorus,,,
Okmulgee Lake,520700020040-05,Phosphorus,,,
Oologah Lake,121510010020-01,Phosphorus,2.38,2.38,2.38
Oologah Lake,121510010020-02,Phosphorus,,,
Oologah Lake,121510010020-03,Phosphorus,,,
Oologah Lake,121510010020-04,Phosphorus,7.08,7.08,7.08
Oologah Lake,121510010020-05,Phosphorus,-5.45,-5.46,-5.45
Oologah Lake,121510010020-06,Phosphorus,3.89,3.89,3.89
Oologah Lake,121510010020-07,Phosphorus,1083.58,157.17,2059.3
Pauls Valley City Lake,310810010180-01,Phosphorus,-429.81,-434.16,-425.46
Pauls Valley City Lake,310810010180-02,Phosphorus,-179.4,-182.98,-175.82
Pauls Valley City Lake,310810010180-03,Phosphorus,-54.53,-56.29,-52.77
Pauls Valley City Lake,310810010180-04,Phosphorus,,,
Pauls Valley City Lake,310810010180-05,Phosphorus,,,
Pawnee Lake,621200030100-01,Phosphorus,961.15,682.71,1244.7
Pawnee Lake,621200030100-02,Phosphorus,1864.14,1293.04,2456.41
Pawnee Lake,621200030100-03,Phosphorus,1371.22,960.75,1792.71
Pawnee Lake,621200030100-04,Phosphorus,,,
Pawnee Lake,621200030100-05,Phosphorus,,,
Perry Lake,621200030350-01,Phosphorus,-6.49,-8.85,-4.11
Perry Lake,621200030350-02,Phosphorus,-11.84,-13.31,-10.33
Perry Lake,621200030350-03,Phosphorus,-10.12,-11.1,-9.13
Perry Lake,621200030350-04,Phosphorus,,,
Perry Lake,621200030350-05,Phosphorus,,,
Pine Creek Lake,410210020020-01,Phosphorus,,,
Pine Creek Lake,410210020020-02,Phosphorus,,,
Pine Creek Lake,410210020020-03,Phosphorus,,,
Pine Creek Lake,410210020020-04,Phosphorus,,,
Pine Creek Lake,410210020020-05,Phosphorus,308.89,308.42,309.36
Prague City Lake,520700040220-01,Phosphorus,,,
Prague City Lake,520700040220-02,Phosphorus,,,
Prague City Lake,520700040220-03,Phosphorus,,,
Purcell Lake,520610030040-01,Phosphorus,,,
Purcell Lake,520610030040-02,Phosphorus,,,
Purcell Lake,520610030040-03,Phosphorus,,,
RC Longmire Lake,310810010186-01,Phosphorus,-84.84,-84.94,-84.74
RC Longmire Lake,310810010186-02,Phosphorus,-12.01,-14.1,-9.92
RC Longmire Lake,310810010186-03,Phosphorus,-40.15,-40.55,-39.75
RC Longmire Lake,310810010186-04,Phosphorus,,,
RC Longmire Lake,310810010186-05,Phosphorus,,,
Robert S. Kerr Reservoir,220200020020-01,Phosphorus,,,
Robert S. Kerr Reservoir,220200020020-02,Phosphorus,,,
Robert S. Kerr Reservoir,220200020020-03,Phosphorus,,,
Robert S. Kerr Reservoir,220200020020-04,Phosphorus,,,
Robert S. Kerr Reservoir,220200020020-05,Phosphorus,,,
Robert S. Kerr Reservoir,220200020020-06,Phosphorus,,,
Rock Creek Reservoir,310800030120-01,Phosphorus,,,
Rock Creek Reservoir,310800030120-02,Phosphorus,,,
Rock Creek Reservoir,310800030120-03,Phosphorus,,,
Rocky Lake,311500030060-01,Phosphorus,108.19,108.1,108.27
Rocky Lake,311500030060-02,Phosphorus,43.81,43.78,43.84
Rocky Lake,311500030060-03,Phosphorus,219.06,218.87,219.24
Rocky Lake,311500030060-04,Phosphorus,,,
Rocky Lake,311500030060-05,Phosphorus,,,
Sardis Lake,410310030020-01,Phosphorus,,,
Sardis Lake,410310030020-02,Phosphorus,,,
Sardis Lake,410310030020-03,Phosphorus,,,
Sardis Lake,410310030020-04,Phosphorus,,,
Sardis Lake,410310030020-05,Phosphorus,,,
Shawnee Twin #1 Lake,520510000280-01,Phosphorus,,,
Shawnee Twin #1 Lake,520510000280-02,Phosphorus,,,
Shawnee Twin #1 Lake,520510000280-03,Phosphorus,,,
Shawnee Twin #1 Lake,520510000280-04,Phosphorus,,,
