Stream,WaterbodySiteName,County,State,Country,USGS_ID,Monitoring_ID,Parameter,TrendConc,TrendConcNum,ConcentrationTrend,ChangeinConc_mg,Units_mg,ChangeinConc_ug,Units_ug,PerChangeConc,TrendFlux,TrendFluxNum,FluxTrend,ChangeinFlux,PerChangeFlux,Method,Latitude,Longitude,N
Caney River,"Caney River, off US 75, Ramona",Washington,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.08689,mg/L,0.08689,mg/L,0.2167,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.51,-95.84,179
Caney River,"Caney River, off US 75, Ramona",Washington,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.51,-95.84,179
Caney River,"Caney River, off US 75, Ramona",Washington,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-1.379,NTU,-1.379,NTU,-1.3106,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.51,-95.84,178
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,7152000,621100000010-001AT,Total Nitrogen,Likely Upward,-1,↑,0.0575,mg/L,57.5,ug/L,0.0329,Highly Likely Downward,3,↓↓↓,-0.388 10^6 kg/year,-0.1872,EGRET,36.81,-97.28,
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,7152000,621100000010-001AT,Total Phosphorus,No Likely Trend,0,No Significant Trend,0.0102,mg/L,10.2,ug/L,0.0436,Likely Downward,1,↓,-0.0967 10^6 kg/year,-0.1944,EGRET,36.81,-97.28,
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,7152000,621100000010-001AT,Specific Conductance,Highly Likely Upward,-3,↑↑↑,273,uS/cm,273,uS/cm,0.3394,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.81,-97.28,
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,7152000,621100000010-001AT,Total hardness,Highly Likely Upward,-3,↑↑↑,72.9,mg/L,72.9,mg/L,0.2374,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.81,-97.28,
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,7152000,621100000010-001AT,Chlorophyll a,Likely Upward,-1,↑,49,ug/L,49,ug/L,0.3226,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.81,-97.28,
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.7417,NTU,-0.7417,NTU,-0.8486,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.81,-97.28,174
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.04189,mg/L,0.04189,mg/L,0.0984,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.81,-97.28,172
Chickaskia River,"Chickaskia River, US 177, Blackwell",Kay,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.81,-97.28,174
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Dissolved oxygen,Likely Upward,-1,↑,0.1036,mg/L,0.1036,mg/L,0.1594,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,42
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,42
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,43
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Chlorophyll a,No Likely Trend,0,No Significant Trend,No Significant Trend,ug/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,38
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Total Phosphorus,Somewhat Likely Upward,-2,↑↑,0.01141,mg/L,11.41,ug/L,0.334,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,38
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,35
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,34
Chikaskia River,Chikaskia River near Tonkawa,Kay,OK,US,,,Total Nitrogen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.69,-97.25,38
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,133
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Dissolved oxygen,Likely Upward,-1,↑,0.03689,mg/L,0.03689,mg/L,0.0701,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,132
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,131
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Chlorophyll a,Likely Upward,-1,↑,0.3525,ug/L,0.3525,ug/L,0.3904,Not Applicable,50,Not Applicable,Not Applicable,0,Mann-Kendall,36.22,-98.25,97
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Total Phosphorus,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,133
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,132
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,133
Cimarron River,"Cimarron River, off SH 8, near Ames",Major,OK,US,,,Total Nitrogen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.22,-98.25,137
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.1437,mg/L,0.1437,mg/L,0.2009,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,121
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,121
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Turbidity,Somewhat Likely Downward,2,↓↓,-1.797,NTU,-1.797,NTU,-0.7218,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,120
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,7.412,ug/L,7.412,ug/L,0.8439,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,35
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Total Phosphorus,Highly Likely Upward,-3,↑↑↑,0.008794,mg/L,8.794,ug/L,0.381,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,119
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,121
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Total hardness,Somewhat Likely Downward,2,↓↓,-9.161,mg/L,-9.161,mg/L,-0.3041,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,119
Cimarron River,"Cimarron River, off SH 99, Oilton",Creek,OK,US,,,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.07899,mg/L,78.99,ug/L,0.5013,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.09,-96.58,117
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,7161450,620900030010-001AT,Total Nitrogen,Somewhat Likely Upward,-2,↑↑,0.542,mg/L,542,ug/L,0.332,Likely Upward,-1,↑,0.988 10^6 kg/year,0.2186,EGRET,35.99,-96.91,
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,7161450,620900030010-001AT,Total Phosphorus,No Likely Trend,0,No Significant Trend,0.0503,mg/L,50.3,ug/L,0.1343,No Likely Trend,0,No Significant Trend,-0.002 10^6 kg/year,-0.0014,EGRET,35.99,-96.91,
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,7161450,620900030010-001AT,Specific Conductance,Highly Likely Upward,-3,↑↑↑,1674,uS/cm,1674,uS/cm,0.315,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.99,-96.91,
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,7161450,620900030010-001AT,Total hardness,Likely Upward,-1,↑,103,mg/L,103,mg/L,0.1981,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.99,-96.91,
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,7161450,620900030010-001AT,Chlorophyll a,Likely Upward,-1,↑,55.1,ug/L,55.1,ug/L,1.5577,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.99,-96.91,
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,,,Dissolved oxygen,Somewhat Likely Upward,-2,↑↑,0.08459,mg/L,0.08459,mg/L,0.1688,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.99,-96.91,157
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.99,-96.91,157
Cimarron River,"Cimarron River, SH 33, Ripley",Payne,OK,US,,,Turbidity,Somewhat Likely Downward,2,↓↓,-0.7307,NTU,-0.7307,NTU,-0.7141,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.99,-96.91,158
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-1.154,NTU,-1.154,NTU,-3.9427,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,119
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Dissolved oxygen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,116
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,"Temperature, water",Likely Upward,-1,↑,0.1675,deg C,0.1675,deg C,0.1244,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,117
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Chlorophyll a,No Likely Trend,0,No Significant Trend,No Significant Trend,ug/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,37
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.003223,mg/L,-3.223,ug/L,-0.5649,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,119
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Specific Conductance,Highly Likely Upward,-3,↑↑↑,350.4,uS/cm,350.4,uS/cm,0.3528,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,117
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Total hardness,Likely Upward,-1,↑,8.577,mg/L,8.577,mg/L,0.138,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,119
Cimarron River,"Cimarron River, SH 81, near Dover",Kingfisher,OK,US,,,Total Nitrogen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.95,-97.91,118
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Dissolved oxygen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,89
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,90
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.1975,NTU,-0.1975,NTU,-1.5989,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,91
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Chlorophyll a,No Likely Trend,0,No Significant Trend,No Significant Trend,ug/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,41
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Total Phosphorus,Somewhat Likely Downward,2,↓↓,-0.001112,mg/L,-1.112,ug/L,-0.9796,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,88
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Specific Conductance,Highly Likely Upward,-3,↑↑↑,1159,uS/cm,1159,uS/cm,0.392,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,90
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Total hardness,Highly Likely Upward,-3,↑↑↑,46.15,mg/L,46.15,mg/L,0.3846,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,87
Cimarron River,"Cimarron River, US 281, near Waynoka",Woods,OK,US,,,Total Nitrogen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.52,-98.88,94
Sager Creek,"Sager Creek, off US 412, West Siloam Springs",Woods,OK,US,,,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,0.08112,ug/L,0.08112,ug/L,0.7176,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.2,-94.61,54
Sager Creek,"Sager Creek, off US 412, West Siloam Springs",Woods,OK,US,,,Total Phosphorus,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.2,-94.61,114
Sager Creek,"Sager Creek, off US 412, West Siloam Springs",Woods,OK,US,,,Specific Conductance,Likely Upward,-1,↑,2.979,uS/cm,2.979,uS/cm,0.1512,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.2,-94.61,106
Sager Creek,"Sager Creek, off US 412, West Siloam Springs",Woods,OK,US,,,Total hardness,Highly Likely Upward,-3,↑↑↑,1.631,mg/L,1.631,mg/L,0.1591,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.2,-94.61,107
Sager Creek,"Sager Creek, off US 412, West Siloam Springs",Woods,OK,US,,,Total Nitrogen,Highly Likely Downward,3,↓↓↓,-0.1895,mg/L,-189.5,ug/L,-0.453,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.2,-94.61,113
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.08891,mg/L,0.08891,mg/L,0.183,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,161
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,"Temperature, water",Somewhat Likely Upward,-2,↑↑,0.1225,deg C,0.1225,deg C,0.1479,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,162
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.6058,NTU,-0.6058,NTU,-0.8442,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,163
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,0.9619,ug/L,0.9619,ug/L,0.466,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,103
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Total Phosphorus,Highly Likely Upward,-3,↑↑↑,0.004211,mg/L,4.211,ug/L,0.257,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,166
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Specific Conductance,Highly Likely Upward,-3,↑↑↑,121,uS/cm,121,uS/cm,0.2968,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,160
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,162
Cimarron River,"Cimarron River, US 77, near Guthrie",Logan,OK,US,,,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.02304,mg/L,23.04,ug/L,0.252,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-97.43,166
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Dissolved oxygen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,167
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,"Temperature, water",Somewhat Likely Downward,2,↓↓,-0.1029,deg C,-0.1029,deg C,-0.1444,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,166
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.6935,NTU,-0.6935,NTU,-4.8567,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,167
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Chlorophyll a,Highly Likely Downward,3,↓↓↓,-0.2851,ug/L,-0.2851,ug/L,-0.7133,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,60
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.01324,mg/L,-13.24,ug/L,-27.48,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,164
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Specific Conductance,Highly Likely Upward,-3,↑↑↑,64.04,uS/cm,64.04,uS/cm,0.2873,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,167
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Total hardness,Highly Likely Upward,-3,↑↑↑,7.336,mg/L,7.336,mg/L,0.3023,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,165
Cimarron River,"Cimmaron River, off US 64, Mocane",Beaver,OK,US,,,Total Nitrogen,Highly Likely Downward,3,↓↓↓,-0.04293,mg/L,-42.93,ug/L,-2.4657,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.98,-100.31,168
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.9402,NTU,-0.9402,NTU,-1.1097,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,165
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.073,mg/L,0.073,mg/L,0.1789,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,165
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,165
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,0.5198,ug/L,0.5198,ug/L,0.5343,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,45
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Total Phosphorus,Somewhat Likely Downward,2,↓↓,-0.001431,mg/L,-1.431,ug/L,-0.4711,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,165
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Specific Conductance,Highly Likely Upward,-3,↑↑↑,4.636,uS/cm,4.636,uS/cm,0.2019,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,164
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Total hardness,Highly Likely Upward,-3,↑↑↑,2.162,mg/L,2.162,mg/L,0.2118,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,166
Clear Boggy Creek,"Clear Boggy Creek, off US 69, Caney",Atoka,OK,US,,,Total Nitrogen,Likely Upward,-1,↑,0.006483,mg/L,6.483,ug/L,0.2087,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.25,-96.21,164
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Dissolved oxygen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,75
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,75
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-1.88,NTU,-1.88,NTU,-0.9636,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,76
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Chlorophyll a,No Likely Trend,0,No Significant Trend,No Significant Trend,ug/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,39
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.1493,mg/L,-149.3,ug/L,-6.3511,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,39
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,38
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,38
Cow Creek,"Cow Creek, SH 5, Waurika",Jefferson,OK,US,,,Total Nitrogen,Highly Likely Downward,3,↓↓↓,-0.7666,mg/L,-766.6,ug/L,-12.804,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.17,-98,39
Deep Fork,"Deep Fork River, off SH 16, Beggs",Okmulgee,OK,US,7243500,520700020010-001AT,Total Nitrogen,Somewhat Likely Upward,-2,↑↑,0.608,mg/L,608,ug/L,0.6509,Somewhat Likely Upward,-2,↑↑,0.576 10^6 kg/year,0.4838,EGRET,35.67,-96.07,
Deep Fork,"Deep Fork River, off SH 16, Beggs",Okmulgee,OK,US,7243500,520700020010-001AT,Total Phosphorus,Somewhat Likely Downward,2,↓↓,-0.0403,mg/L,-40.3,ug/L,-0.1842,Likely Downward,1,↓,-0.0243 10^6 kg/year,-0.094,EGRET,35.67,-96.07,
Deep Fork,"Deep Fork River, off SH 16, Beggs",Okmulgee,OK,US,7243500,520700020010-001AT,Specific Conductance,Somewhat Likely Upward,-2,↑↑,96.8,uS/cm,96.8,uS/cm,0.1576,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.67,-96.07,
Deep Fork,"Deep Fork River, off SH 16, Beggs",Okmulgee,OK,US,7243500,520700020010-001AT,Total hardness,Likely Upward,-1,↑,17.9,mg/L,17.9,mg/L,0.0827,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.67,-96.07,
Deep Fork,"Deep Fork River, off SH 16, Beggs",Okmulgee,OK,US,7243500,520700020010-001AT,Chlorophyll a,Likely Upward,-1,↑,13,ug/L,13,ug/L,0.8664,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.67,-96.07,
